抓取時間,超連結,物件標題,地址,屋齡,物件類型,原始坪數,實際坪數,格局,總樓層,所在樓層,物件被點擊次數,額外資訊1,額外資訊2,額外資訊3,現在價格
2025-02-24 11-47-24,https://www.sinyi.com.tw//buy/house/53838S/?breadcrumb=list,永鼎帝京實品屋,新北市新莊區中正路,8.3,年大樓,60.65,40.633,3房2廳2衛,22,14,328,廁所開窗,警衛管理,具垃圾處理,"5,421"
2025-02-24 11-47-24,https://www.sinyi.com.tw//buy/house/9454ZW/?breadcrumb=list,名人大廈挑高採光兩房,新北市蘆洲區中山一路,34.3,年大樓,18.5,14.322,2房2廳1衛,11,11,197,有裝潢,有景觀,有陽台,"1,290"
2025-02-24 11-47-24,https://www.sinyi.com.tw//buy/house/66924Y/?breadcrumb=list,新月大河河景３房,新北市新莊區瓊林路,預售,預售大樓,29.83,19.543,3房2廳2衛,15,4,2,近公園,有2D/3D看屋,近公園,"2,081"
2025-02-24 11-47-24,https://www.sinyi.com.tw//buy/house/01814J/?breadcrumb=list,新月大河邊間３房,新北市新莊區瓊林路,預售,預售大樓,27.78,18.23,3房2廳2衛,15,4,2,房間皆有窗,有2D/3D看屋,房間皆有窗,"1,813"
2025-02-24 11-47-24,https://www.sinyi.com.tw//buy/house/3711RV/?breadcrumb=list,近學區公寓二樓,新北市樹林區名園街,43.8,年公寓,23.33,23.333,3房2廳1衛,5,2,762,有裝潢,前後陽台,有陽台,850
2025-02-24 11-47-24,https://www.sinyi.com.tw//buy/house/6774UB/?breadcrumb=list,秀朗時尚金店面秀朗時尚,新北市永和區永元路,19.2,年店面,43.35,33.231,1廳1衛,14,1,97,有裝潢,有陽台,房間皆有窗,"5,988"
2025-02-24 11-47-24,https://www.sinyi.com.tw//buy/house/9028PQ/?breadcrumb=list,輕裝潢成家電梯兩房車位重慶台北,新北市板橋區國慶路,30.0,年大樓,28.7,15.682,2房2廳1衛,12,7,1474,有裝潢,房間皆有窗,警衛管理,"1,598"
2025-02-24 11-47-24,https://www.sinyi.com.tw//buy/house/8666TW/?breadcrumb=list,歐洲巴黎樂章裝潢四房車位歐洲村-巴黎樂章,新北市新莊區中平路,19.4,年大樓,46.12,27.44,4房2廳1衛,13,2,1322,有裝潢,廁所開窗,警衛管理,"2,568"
2025-02-24 11-47-24,https://www.sinyi.com.tw//buy/house/8064VU/?breadcrumb=list,前後陽台．明亮電梯３房雙鳳生源,新北市新莊區鳳山街,24.7,年大樓,40.64,29.393,3房2廳2衛,14,3,769,有裝潢,有景觀,前後陽台,"1,888"
2025-02-24 11-47-24,https://www.sinyi.com.tw//buy/house/95954T/?breadcrumb=list,㊣芬蘭極光★高樓層誠售麗寶北歐莊園-芬...,新北市板橋區華江一路,2.2,年辦公,32.62,13.512,2房1廳1衛,18,14,1250,有裝潢,有陽台,警衛管理,"1,888"
2025-02-24 11-47-24,https://www.sinyi.com.tw//buy/house/0675KC/?breadcrumb=list,欣世代公園景觀宅欣世代-世紀館,新北市三重區元信二街,2.3,年大樓,41.03,23.23,3房2廳2衛,14,9,424,有裝潢,有景觀,前後陽台,"3,088"
2025-02-24 11-47-24,https://www.sinyi.com.tw//buy/house/4743GF/?breadcrumb=list,關渡山水稀有３房關渡山水,新北市淡水區民權路,29.1,年大樓,30.76,24.763,3房2廳1衛,22,12,550,有裝潢,有陽台,房間皆有窗,"1,658"
2025-02-24 11-47-24,https://www.sinyi.com.tw//buy/house/8847ZY/?breadcrumb=list,里享國兩房車位里享國,新北市蘆洲區中興街,5.1,年大樓,38.92,15.12,2房2廳1衛,14,11,1601,有裝潢,有陽台,房間皆有窗,"2,080"
2025-02-24 11-47-24,https://www.sinyi.com.tw//buy/house/06125R/?breadcrumb=list,永鼎帝京樓中樓,新北市新莊區,8.3,年大樓,155.8,103.215,5房2廳3衛,22,21,217,有景觀,前後陽台,有陽台,"13,731"
2025-02-24 11-47-24,https://www.sinyi.com.tw//buy/house/47716D/?breadcrumb=list,永鼎帝京大三房,新北市新莊區中正路,8.3,年大樓,60.65,40.633,3房2廳2衛,22,14,431,前後陽台,有陽台,廁所開窗,"4,341"
2025-02-24 11-47-24,https://www.sinyi.com.tw//buy/house/5059UF/?breadcrumb=list,三和正旺三房車位三和正旺大樓,新北市三重區三和路三段,14.8,年大樓,51.74,30.663,3房2廳2衛,15,11,317,有裝潢,有景觀,有陽台,"3,680"
2025-02-24 11-47-24,https://www.sinyi.com.tw//buy/house/0021WK/?breadcrumb=list,華府高樓邊間三房坡平車位華府DC,新北市板橋區中山路一段,18.7,年大樓,74.89,43.43,3房2廳2衛,12,10,502,有裝潢,有景觀,有陽台,"5,998"
2025-02-24 11-47-24,https://www.sinyi.com.tw//buy/house/6644FR/?breadcrumb=list,新埔捷運景觀溫馨美屋千禧園,新北市板橋區萬板路,18.1,年大樓,29.55,21.912,2房2廳1衛,15,11,1988,有裝潢,有景觀,有陽台,"2,650"
2025-02-24 11-47-24,https://www.sinyi.com.tw//buy/house/6624DM/?breadcrumb=list,ღ幸福成家電梯三房帶車位瑞林甲天下,新北市土城區青雲路,30.3,年華廈,49.84,36.823,3房2廳2衛,7,5,215,有裝潢,前後陽台,有陽台,"2,448"
2025-02-24 11-47-24,https://www.sinyi.com.tw//buy/house/2434ZZ/?breadcrumb=list,專任台北大道大美三房台北大道,新北市新莊區龍安路,29.6,年大樓,36.71,29.563,3房2廳2衛,15,5,432,廁所開窗,房間皆有窗,警衛管理,"1,698"
2025-02-24 11-47-30,https://www.sinyi.com.tw//buy/house/1534HR/?breadcrumb=list,禮躍帝王坡車兩房禮躍,新北市新莊區福美街,5.8,年大樓,45.53,21.212,2房2廳1.,15,5,1180,有裝潢,有陽台,廁所開窗,"2,498"
2025-02-24 11-47-30,https://www.sinyi.com.tw//buy/house/4361TN/?breadcrumb=list,前後陽台三民公寓三樓,新北市板橋區三民路二段,47.7,年公寓,25.64,25.643,3房2廳1衛,3,3,253,有裝潢,前後陽台,有陽台,"1,558"
2025-02-24 11-47-30,https://www.sinyi.com.tw//buy/house/5375RV/?breadcrumb=list,新店智慧園林三房稀有釋出智慧園林,新北市新店區三民路,35.7,年大樓,37.35,31.353,3房2廳2衛,16,5,393,有裝潢,有陽台,房間皆有窗,"2,566"
2025-02-24 11-47-30,https://www.sinyi.com.tw//buy/house/1162CM/?breadcrumb=list,三圓羅馬高樓景觀三圓羅馬,新北市新店區安興路,29.8,年大樓,55.69,43.374,4房2廳2衛,21,18,341,有景觀,廁所開窗,房間皆有窗,"1,988"
2025-02-24 11-47-30,https://www.sinyi.com.tw//buy/house/6508FC/?breadcrumb=list,台北大城優質三房台北大城,新北市新莊區昌平街,30.3,年大樓,35.28,25.163,3房2廳1衛,11,7,454,有裝潢,有陽台,房間皆有窗,"1,998"
2025-02-24 11-47-30,https://www.sinyi.com.tw//buy/house/0413LX/?breadcrumb=list,大學京都＊綠意樹梢大學京都(遠雄京...,新北市樹林區學成路,14.9,年大樓,61.97,34.813,3房2廳2衛,19,2,331,有裝潢,前後陽台,有陽台,"2,920"
2025-02-24 11-47-30,https://www.sinyi.com.tw//buy/house/5207AU/?breadcrumb=list,近捷運三面採光好一樓,新北市中和區中山路二段,40.7,年公寓,29.31,26.823,3房2廳1衛,4,1,157,有裝潢,前後陽台,有陽台,"2,500"
2025-02-24 11-47-30,https://www.sinyi.com.tw//buy/house/3846JZ/?breadcrumb=list,捷運邊間三面採光公寓２樓,新北市蘆洲區信義路,48.2,年公寓,22.08,22.092,2房2廳2衛,4,2,1692,有裝潢,前後陽台,有陽台,"1,198"
2025-02-24 11-47-30,https://www.sinyi.com.tw//buy/house/74855D/?breadcrumb=list,府中捷運金扶輪,新北市板橋區館前東路,39.3,年大樓,47.34,39.723,3房1廳2衛,11,9,587,有裝潢,前後陽台,有陽台,"2,250"
2025-02-24 11-47-30,https://www.sinyi.com.tw//buy/house/1096LQ/?breadcrumb=list,綠色生活三房車位綠色生活,新北市汐止區忠孝東路,28.1,年華廈,41.6,26.43,3房2廳2衛,8,3,998,有裝潢,有陽台,房間皆有窗,"1,750"
2025-02-24 11-47-30,https://www.sinyi.com.tw//buy/house/6128ZQ/?breadcrumb=list,屋主誠意售屋大坪林一樓,新北市新店區二十張路,45.4,年公寓,27.73,27.733,3房2廳1衛,4,1,965,有裝潢,前後陽台,有陽台,"2,188"
2025-02-24 11-47-30,https://www.sinyi.com.tw//buy/house/5925NY/?breadcrumb=list,東村高樓採光裝潢好物件東村A-ONE,新北市新莊區後港一路,11.8,年大樓,17.4,9.811,1房1廳1衛,15,13,1172,有裝潢,有景觀,有陽台,968
2025-02-24 11-47-30,https://www.sinyi.com.tw//buy/house/8559VQ/?breadcrumb=list,伴月灣邊間高樓明亮２房伴月灣,新北市八里區龍米路二段,11.3,年大樓,33.24,20.542,2房2廳1衛,23,19,348,有裝潢,有景觀,有陽台,"1,090"
2025-02-24 11-47-30,https://www.sinyi.com.tw//buy/house/2375AK/?breadcrumb=list,市中心電梯溫馨美屋中正國宅甲區,新北市新店區中正路,38.8,年大樓,27.57,23.542,2房2廳1衛,12,10,3362,有裝潢,有景觀,前後陽台,"1,838"
2025-02-24 11-47-30,https://www.sinyi.com.tw//buy/house/8656MV/?breadcrumb=list,精裝波爾多三房車位金莊波爾多花園,新北市新莊區中正路,19.3,年大樓,60.18,37.193,3房2廳2衛,13,2,329,有裝潢,前後陽台,有陽台,"3,098"
2025-02-24 11-47-30,https://www.sinyi.com.tw//buy/house/4816SV/?breadcrumb=list,單層單戶大空間四房美屋,新北市蘆洲區中原路,14.1,年華廈,49.48,36.824,4房2廳2衛,5,3,296,有裝潢,前後陽台,有陽台,"2,950"
2025-02-24 11-47-30,https://www.sinyi.com.tw//buy/house/6639YX/?breadcrumb=list,聯上匯翠高樓邊間三房車位聯上匯翠,新北市板橋區華江一路,3.8,年大樓,57.5,28.353,3房2廳2衛,19,12,215,有裝潢,有景觀,廁所開窗,"4,398"
2025-02-24 11-47-30,https://www.sinyi.com.tw//buy/house/7978HX/?breadcrumb=list,極景高樓景觀坡平車位極景虹區,新北市新店區北新路二段,29.4,年大樓,59.58,35.613,3房2廳2衛,16,16,916,有裝潢,有景觀,前後陽台,"3,580"
2025-02-24 11-47-30,https://www.sinyi.com.tw//buy/house/3209FK/?breadcrumb=list,美樹首席．臻品宅邸美樹首席,新北市新莊區福前街,12.4,年大樓,76.34,43.382,2房2廳2衛,17,17,513,有裝潢,有景觀,前後陽台,"4,380"
2025-02-24 11-47-30,https://www.sinyi.com.tw//buy/house/1239DD/?breadcrumb=list,【成家】淡金路電梯正三房山海大地,新北市淡水區淡金路,31.2,年大樓,35.77,33.543,3房2廳2衛,20,2,251,有裝潢,前後陽台,有陽台,"1,189"
2025-02-24 11-47-36,https://www.sinyi.com.tw//buy/house/5882CT/?breadcrumb=list,尚海高樓景觀大戶尚海,新北市淡水區淡金路,17.5,年大樓,78.98,43.743,3房2廳2衛,19,14,1092,有裝潢,有景觀,房間皆有窗,"2,750"
2025-02-24 11-47-36,https://www.sinyi.com.tw//buy/house/6929DW/?breadcrumb=list,裕民國小公寓２樓裝潢美宅,新北市新莊區裕民街,47.5,年公寓,17.97,17.972,2房2廳1衛,4,2,1450,有裝潢,有陽台,近公園,938
2025-02-24 11-47-36,https://www.sinyi.com.tw//buy/house/5198ZL/?breadcrumb=list,超級大庭大庭新村,新北市板橋區國光路,29.9,年大樓,47.26,33.493,3房2廳2衛,12,11,103,有裝潢,有景觀,前後陽台,"2,688"
2025-02-24 11-47-36,https://www.sinyi.com.tw//buy/house/6036QL/?breadcrumb=list,近捷運過圳三房電梯屋,新北市三重區過圳街,27.3,年大樓,56.01,39.633,3房2廳2衛,12,5,160,有裝潢,前後陽台,有陽台,"2,998"
2025-02-24 11-47-36,https://www.sinyi.com.tw//buy/house/1384DL/?breadcrumb=list,北大高中第一排＊爵仕悅爵仕悅,新北市三峽區學府路,15.9,年大樓,55.13,31.484,4房2廳2衛,15,2,51,有裝潢,前後陽台,有陽台,"2,350"
2025-02-24 11-47-36,https://www.sinyi.com.tw//buy/house/8749QF/?breadcrumb=list,安和琉域景觀三房車位安和琉域,新北市土城區延和路,2.2,年大樓,50.54,25.273,3房2廳2衛,15,15,25,有裝潢,前後陽台,有陽台,"3,180"
2025-02-24 11-47-36,https://www.sinyi.com.tw//buy/house/5909HH/?breadcrumb=list,板南線海山站方正２房車位北京,新北市土城區裕民路,32.6,年大樓,33.54,19.912,2房2廳1衛,13,10,748,有裝潢,有景觀,有陽台,"1,980"
2025-02-24 11-47-36,https://www.sinyi.com.tw//buy/house/2936GL/?breadcrumb=list,榮耀之城優質四房車位榮耀之城,新北市林口區民富街,17.7,年大樓,53.72,32.234,4房2廳2衛,15,3,380,有裝潢,有陽台,房間皆有窗,"2,488"
2025-02-24 11-47-36,https://www.sinyi.com.tw//buy/house/7519HW/?breadcrumb=list,陽光ＰＡＲＫ精選高樓陽光PARK,新北市新店區安興路,8.9,年辦公,36.63,20.453,3房1廳1衛,14,10,1163,有裝潢,有景觀,前後陽台,"1,458"
2025-02-24 11-47-36,https://www.sinyi.com.tw//buy/house/9602PC/?breadcrumb=list,☆聯合公園☆全新高樓戶聯合公園,新北市新莊區富貴路,1.4,年大樓,27.07,12.661,1廳1衛,21,13,28,毛胚屋,有陽台,警衛管理,"1,818"
2025-02-24 11-47-36,https://www.sinyi.com.tw//buy/house/9664VG/?breadcrumb=list,★聯合公園★面公園景觀戶聯合公園,新北市新莊區富貴路,1.4,年大樓,36.62,16.931,1廳1衛,21,13,27,毛胚屋,有景觀,有陽台,"2,580"
2025-02-24 11-47-36,https://www.sinyi.com.tw//buy/house/7168PV/?breadcrumb=list,遠雄首品〠精緻首選遠雄首品,新北市新莊區中德路,7.3,年辦公,35.86,13.692,2房1廳1衛,15,10,84,有裝潢,有景觀,有陽台,"1,798"
2025-02-24 11-47-36,https://www.sinyi.com.tw//buy/house/9810BQ/?breadcrumb=list,雙衛浴開窗四房車位㊣稀有夏卡爾,新北市樹林區佳園路三段,17.3,年大樓,49.3,29.034,4房2廳2衛,14,12,343,有裝潢,有景觀,有陽台,"2,050"
2025-02-24 11-47-36,https://www.sinyi.com.tw//buy/house/61438S/?breadcrumb=list,長磊雨青景觀佳好規劃長磊雨青,新北市淡水區自立路,7.5,年華廈,106.48,57.391,1廳10,10,10,139,毛胚屋,廁所開窗,警衛管理,"3,785"
2025-02-24 11-47-36,https://www.sinyi.com.tw//buy/house/0795JL/?breadcrumb=list,築城經典美屋築城經典,新北市三重區慈愛街,15.9,年華廈,40.57,28.52,2房2廳2衛,6,4,51,有裝潢,有景觀,前後陽台,"3,080"
2025-02-24 11-47-36,https://www.sinyi.com.tw//buy/house/9260BT/?breadcrumb=list,清淞高樓河景美屋車位清淞,新北市淡水區淡金路,16.5,年大樓,19.91,8.731,1房1廳1衛,29,26,448,有裝潢,有景觀,廁所開窗,860
2025-02-24 11-47-36,https://www.sinyi.com.tw//buy/house/1946ZU/?breadcrumb=list,景安好近後棟美三房摩登大國,新北市中和區中正路,28.3,年大樓,35.76,30.993,3房2廳2衛,22,9,1143,有景觀,有陽台,廁所開窗,"2,350"
2025-02-24 11-47-36,https://www.sinyi.com.tw//buy/house/9474SU/?breadcrumb=list,【新接】鶯歌鳳鳴景觀３房,新北市鶯歌區永和街,7.4,年大樓,52.1,25.183,3房2廳2衛,14,10,465,有景觀,有陽台,廁所開窗,"1,918"
2025-02-24 11-47-36,https://www.sinyi.com.tw//buy/house/6054QW/?breadcrumb=list,萬大捷運公園邊間方正典藏泰隆柏園,新北市永和區保順路,33.5,年大樓,57.05,39.553,3房2廳2衛,12,3,240,前後陽台,有陽台,廁所開窗,"2,998"
2025-02-24 11-47-36,https://www.sinyi.com.tw//buy/house/6851VN/?breadcrumb=list,首購高樓兩房車位,新北市三重區大有街,0.5,年大樓,24.73,12.262,2房1廳1衛,15,9,1465,有裝潢,有景觀,有陽台,"1,560"
2025-02-24 11-47-41,https://www.sinyi.com.tw//buy/house/9177ZQ/?breadcrumb=list,捷運站電梯高樓層鈴木華城,新北市新莊區中正路,30.8,年其它,34.8,27.413,3房2廳2衛,10,9,284,有裝潢,前後陽台,有陽台,"1,498"
2025-02-24 11-47-41,https://www.sinyi.com.tw//buy/house/5602BV/?breadcrumb=list,新店達觀美市景２房車位達觀鎮A1,新北市新店區達觀路,28.7,年大樓,34.95,18.792,2房2廳1衛,18,11,419,有裝潢,有景觀,有陽台,"1,055"
2025-02-24 11-47-41,https://www.sinyi.com.tw//buy/house/4433JB/?breadcrumb=list,全新可看屋兩房車位,新北市三重區大有街,0.5,年大樓,24,11.782,2房1廳1衛,15,9,1435,有裝潢,有景觀,有陽台,"1,510"
2025-02-24 11-47-41,https://www.sinyi.com.tw//buy/house/9440PJ/?breadcrumb=list,竹圍稀有關渡大街漂亮套房關渡大街一,新北市淡水區民族路,28.2,年華廈,10.19,7.61,1房1衛7樓,7,7,6298,有裝潢,房間皆有窗,警衛管理,588
2025-02-24 11-47-41,https://www.sinyi.com.tw//buy/house/8025RF/?breadcrumb=list,【麗緻】河景溫馨三房車位太平洋麗緻,新北市淡水區新民街,24.3,年大樓,41.66,243,3房2廳2衛,14,8,95,有裝潢,有景觀,有陽台,"1,388"
2025-02-24 11-47-41,https://www.sinyi.com.tw//buy/house/0076VC/?breadcrumb=list,劍橋河景＊３房車位健弘新世界-劍橋...,新北市汐止區樟樹二路,29.1,年大樓,41.72,24.513,3房2廳2衛,17,17,97,有裝潢,有景觀,前後陽台,"1,888"
2025-02-24 11-47-41,https://www.sinyi.com.tw//buy/house/3365KD/?breadcrumb=list,蛇舞春風家麒文化景觀美屋家麒文化,新北市板橋區莊敬路,17.3,年大樓,98.24,65.064,4房2廳3衛,15,6,333,前後陽台,有陽台,廁所開窗,"7,980"
2025-02-24 11-47-41,https://www.sinyi.com.tw//buy/house/97130S/?breadcrumb=list,大觀明園低總價電梯三房大觀明園,新北市板橋區大觀路三段,30.2,年大樓,31.76,26.833,3房2廳2衛,16,7,2289,前後陽台,有陽台,廁所開窗,"1,398"
2025-02-24 11-47-41,https://www.sinyi.com.tw//buy/house/0745GJ/?breadcrumb=list,文化南３樓邊間公寓,新北市三重區文化南路,45.2,年公寓,23.29,23.32,2房2廳1衛,4,3,1238,有裝潢,前後陽台,有陽台,"1,280"
2025-02-24 11-47-41,https://www.sinyi.com.tw//buy/house/2402XN/?breadcrumb=list,頂樓採光旺宅廣禧旺典,新北市三重區忠孝路三段,17.1,年華廈,49.04,29.874,4房2廳2衛,8,8,186,有裝潢,有景觀,前後陽台,"3,180"
2025-02-24 11-47-41,https://www.sinyi.com.tw//buy/house/5594VM/?breadcrumb=list,富堡晶璽次頂質感四房車位富堡晶璽,新北市林口區文化三路一段,5.4,年大樓,54.25,31.94,4房2廳2衛,15,14,93,前後陽台,有陽台,廁所開窗,"3,280"
2025-02-24 11-47-41,https://www.sinyi.com.tw//buy/house/8667BZ/?breadcrumb=list,千禧園４房車位⮞歡迎介紹千禧園,新北市板橋區萬板路,18.1,年大樓,54.36,33.14,4房2廳2衛,15,7,241,有裝潢,有陽台,廁所開窗,"3,880"
2025-02-24 11-47-41,https://www.sinyi.com.tw//buy/house/98462V/?breadcrumb=list,活力城首席景觀居活力城,新北市林口區中山路,17.1,年大樓,37.87,19.822,2房1廳1衛,15,13,137,有裝潢,有景觀,前後陽台,"1,668"
2025-02-24 11-47-41,https://www.sinyi.com.tw//buy/house/1653GR/?breadcrumb=list,未來之光典雅美三房遠雄未來之光,新北市林口區文化三路二段,12.6,年大樓,75.81,42.223,3房2廳2衛,19,19,134,有裝潢,有景觀,前後陽台,"4,288"
2025-02-24 11-47-41,https://www.sinyi.com.tw//buy/house/3068NW/?breadcrumb=list,皇翔ＰＡＲＫ‧雲頂層峰皇翔PARK,新北市土城區日和街,5.3,年辦公,30.65,17.952,2房2廳1衛,32,29,71,有裝潢,有景觀,有陽台,"2,280"
2025-02-24 11-47-41,https://www.sinyi.com.tw//buy/house/6157VR/?breadcrumb=list,板新捷運三民公園二樓,新北市板橋區三民路二段,47.7,年公寓,25.64,25.643,3房2廳1衛,3,2,119,有裝潢,前後陽台,有陽台,"1,650"
2025-02-24 11-47-41,https://www.sinyi.com.tw//buy/house/8954TT/?breadcrumb=list,扶輪公園幸福成家三房文化御品,新北市林口區文化三路一段,14.3,年大樓,50.18,26.643,3房2廳2衛,12,9,128,有裝潢,有陽台,房間皆有窗,"2,388"
2025-02-24 11-47-41,https://www.sinyi.com.tw//buy/house/3678BF/?breadcrumb=list,江子翠靜巷壹樓空間,新北市板橋區萬板路,35.7,年辦公,33.31,31.025,5房3廳2衛,5,1,269,有裝潢,前後陽台,有陽台,"2,688"
2025-02-24 11-47-41,https://www.sinyi.com.tw//buy/house/9116BH/?breadcrumb=list,漂亮玫瑰公園四房車位玫瑰公園大貴,新北市板橋區龍泉街,24.0,年大樓,53.63,33.84,4房2廳2衛,13,9,205,有裝潢,有景觀,前後陽台,"2,780"
2025-02-24 11-47-41,https://www.sinyi.com.tw//buy/house/7992ZD/?breadcrumb=list,近未來捷運黃金三樓,新北市中和區連城路,45.0,年公寓,26.27,26.273,3房2廳1衛,5,3,537,有裝潢,有陽台,廁所開窗,"1,350"
